"","ds","dep_var","trend","season","holiday","cag_V","Influencer_S","Social_Media_S","Radio_S","beef","chicken","intercept","depVarHat","solID"
"1254","2021-02-07",142642873.6,3079263.37547943,-1328543.16945387,0,-1005514.36865908,248378.391433072,98767.7378661759,2.75366535884496e-60,79703019.215127,23667836.6715571,33471228.4979829,104463207.85335,"10_100_3"
"1255","2021-02-14",140125960.3,3090545.76164642,-1342240.83166777,-131557.699534991,-1093600.05172284,139972.105050761,98767.0778668761,1.14977162059183e-62,79706869.4310867,23657511.5075105,33471228.4979829,104126267.300236,"10_100_3"
"1256","2021-02-21",97489595.67,3101828.14781341,-1574797.54241716,0,-1450344.95170427,67837.5850507243,77928.1058958328,4.80078225653705e-65,79707001.495649,23656941.9735455,33471228.4979829,103586394.813833,"10_100_3"
"1257","2021-02-28",86607398.28,3113110.5339804,-1927267.86398915,0,-1412009.40775357,63158.92155858,80577.552979172,2.00452940931153e-67,79707006.0259461,23656910.5667429,33471228.4979829,103281486.329464,"10_100_3"
"1258","2021-03-07",37962702.24,3124392.92014738,-2141629.86587556,0,-1316565.61421123,5739.90565522764,8059.08649140976,8.36975713139973e-70,79707006.1813524,23537342.4035991,33471228.4979829,102924345.017159,"10_100_3"
"1259","2021-03-14",3438460.58,3135675.30631437,-2122471.07098572,0,-1275196.52519266,9.84273846090619,7323.30083606606,3.49472719697721e-72,79985744.3385672,23530726.9771156,33471228.4979829,103261812.169393,"10_100_3"
"1260","2021-03-21",2895546.44,3146957.69248136,-2057569.07421701,0,-1214017.68140531,0.0915751231061553,7308.0699101141,1.45919624542913e-74,79995241.6580472,23530362.110034,33471228.4979829,103408282.866425,"10_100_3"
"1261","2021-03-28",2545133.94,3158240.07864835,-2164820.47722022,0,-972519.274979027,0.0283786243067923,6245.99226844495,6.09276078692548e-77,79995567.3766578,23530341.9896506,33471228.4979829,103553055.713405,"10_100_3"
"1262","2021-04-04",3319059.77,3169522.46481534,-2397877.75650772,0,-1455953.48270184,1.84796666175243e-05,1251.80037104035,2.54398502757796e-79,80265617.1605948,23825142.977369,33471228.4979829,103407703.163959,"10_100_3"
"1263","2021-04-11",2381882.16,3180804.85098233,-2517115.04610085,0,-1165995.95750534,1.20336374776133e-08,777.069447307442,1.06222122398582e-81,80274820.2813182,23841265.4121302,33471228.4979829,103614556.610272,"10_100_3"
"1264","2021-04-18",2634096.81,3192087.23714931,-2443060.57921712,0,-1028893.82994959,0.242791999468377,768.425699186354,4.43522236355366e-84,80275135.9122725,23842154.0593313,33471228.4979829,103838191.468078,"10_100_3"
"1265","2019-10-20",16903252.55,2264782.64527322,-1493207.71916148,0,-1437361.22280739,639.595337612172,26.1089779301053,0,23998638.6763677,69192477.4776548,40775510.7790439,92525995.5616425,"10_104_9"
"1266","2019-10-27",17041206.68,2276079.05953115,-1687521.29924276,0,-1055275.0533512,821.187047025872,37.0527387575678,0,24014334.9869226,69192721.7207652,40775510.7790439,92741197.6544108,"10_104_9"
"1267","2019-11-03",44838814.19,2287375.47647569,-1549988.34244834,0,-929441.858862488,254949.619025247,38.1101711529238,0,23873118.3747594,69307285.7682165,40775510.7790439,93243337.1473372,"10_104_9"
"1268","2019-11-10",34654156.8,2298671.89342022,-1582484.76735391,-530924.675787756,-1202371.43878176,383141.674081689,38.2027188569566,0,23859793.8055131,69309975.5033734,40775510.7790439,92535840.1971838,"10_104_9"
"1269","2019-11-17",36825456.94,2309968.30484704,-1841957.3337455,0,-1531663.37070883,397264.177377662,0.892372779413542,0,23858539.9686613,69310038.8393937,40775510.7790439,92502191.4781982,"10_104_9"
"1270","2019-11-24",39523546.72,2321264.71627387,-2062605.62247633,40219.8627025426,-604757.298058367,407692.799777575,0.00217748335527209,0,23858422.0132111,69310040.3308898,40775510.7790439,93270276.8044976,"10_104_9"
"1271","2019-12-01",58638124.42,2332561.12770069,-2070212.40652201,0,-1470042.380081,407925.343688903,5.31327415947122e-06,0,23858410.9167482,69259216.2174614,40775510.7790439,92317858.8190014,"10_104_9"
"1272","2019-12-08",34595451,2343857.53834711,-1952064.38691319,0,-1139122.27941123,414721.516282543,1.29649129318327e-08,0,24104078.5598118,69258017.7564832,40775510.7790439,93029488.7046002,"10_104_9"
"1273","2019-12-15",38934322.21,2355153.94899353,-1854509.59419361,0,-4050412.70214921,414872.678498857,3.80115569513117,0,24127068.4567983,69257989.5330611,40775510.7790439,90250166.1221647,"10_104_9"
"1274","2019-12-22",45290872.74,2366450.35963995,-1763498.15286921,-221631.687045666,-1194216.73831302,412823.924042776,4.66406243434165,0,24129230.1202313,69257988.8684279,40775510.7790439,92987151.3581764,"10_104_9"
"1275","2019-12-29",64776493.72,2377746.76295298,-1573699.71957799,-297270.474161175,-812352.276940937,397680.080774206,0.0113809299154327,0,24129433.4651727,69257988.8527764,40775510.7790439,93479526.7023772,"10_104_9"
"1276","2020-01-05",64894467.84,2389043.16626601,-1307423.88015634,0,-1968262.01534601,497535.129073845,2.77705922924961e-05,0,24246423.3850172,70328433.8390874,40775510.7790439,94185749.6239699,"10_104_9"
"1277","2020-01-12",24732351.93,2400339.57240778,-1139184.92161075,0,-1670279.42192211,12788.6475169306,2.43202054586725,0,24257401.2349639,70352940.393328,40775510.7790439,94214007.9367043,"10_104_9"
"1278","2020-01-19",26557621.63,2411635.97854955,-1176359.98428339,58330.1546726942,-1172004.35963607,15604.9267313526,2.97859150604813,0,24258433.7099511,70353517.1220703,40775510.7790439,94749160.5266471,"10_104_9"
"1279","2020-01-26",26292907.18,2422932.38469132,-1307599.9274493,0,-1359049.77047252,16365.011865403,3.02911746627692,0,24258530.8359054,70353530.7032344,40775510.7790439,94384712.2668922,"10_104_9"
"1280","2020-02-02",28287255.18,2434228.78504588,-1347981.16067699,0,-1298232.4716496,16382.0862529412,3.03352354364475,0,24156269.0388872,70026152.1835855,40775510.7790439,93986821.4949684,"10_104_9"
"1281","2020-02-09",32890363.52,2445525.18540045,-1295266.0966325,0,-1064101.8064499,16303.6144713105,4.58423302965278,0,24146627.7056627,70018375.4102438,40775510.7790439,94267468.5969289,"10_104_9"
"1282","2020-02-16",5841619.91,2456821.58575501,-1341308.09965926,-129188.249070337,-1555704.8410797,999.206911482408,4.73684953130447,0,24145720.5273502,70018192.2374329,40775510.7790439,93595537.1044898,"10_104_9"
"1283","2020-02-23",5115095.26,2468117.97940638,-1605632.38434288,0,-2457855.82046355,679.750258787467,4.75022645782286,0,24145635.1846057,70018187.9238796,40775510.7790439,92569137.3835705,"10_104_9"
"1284","2020-03-01",3178917.26,2479414.37305774,-1945511.72044274,0,-1871507.22176409,402.876923373452,46.2715203542101,0,24145627.1561342,69734745.4153258,40775510.7790439,92543217.1507546,"10_104_9"
"1285","2020-03-08",36760762.07,2490710.76171538,-2113087.64838408,0,-2503486.11552481,843.872902361733,18.5871606688095,0,24223617.2192512,69728020.3054731,40775510.7790439,91826636.9825938,"10_104_9"
"1286","2020-03-15",44275947.01,2502007.15037301,-2067042.05808232,0,-3148843.70648616,562.107676629576,16.8574451945195,0,24230941.6526986,69727861.9078414,40775510.7790439,91245503.9114664,"10_104_9"
"1287","2020-03-22",52300359.72,2513303.53903065,-2022850.50073956,0,-2102430.0481218,305.756807003925,16.7121291207237,0,24231630.5757901,69727858.1777235,40775510.7790439,92347834.212619,"10_104_9"
"1288","2020-03-29",31399641.03,2524598.64871079,-2162452.51657189,0,-2370052.49077764,195.484076722862,16.6995605419324,0,24231695.3839578,69727858.089883,40775510.7790439,91951859.2988393,"10_104_9"
"1289","2020-04-05",32570266.98,2535893.75839094,-2388752.40274591,0,-1526494.80099797,193.368691063564,5.45633908209501,0,25050077.8259625,69370649.2453426,40775510.7790439,93041572.4509823,"10_104_9"
"1290","2020-04-12",928.58,2547188.86807108,-2468270.61745135,0,-1258013.23951619,3.09504380838094,0.0133142211652111,0,25125674.5003922,69362157.4970516,40775510.7790439,93308740.1169053,"10_104_9"
"1291","2020-04-19",1324.52,2558474.02546664,-2378703.56833323,0,-1132290.89906954,2.41412476929131,3.24880139444823e-05,0,25132773.8883273,69361957.4802611,40775510.7790439,93542213.3408095,"10_104_9"
"1292","2020-04-26",1688.79,2569759.18286219,-2361967.39512742,0,-1181066.67757414,2.40017712720983,7.92739579232039e-08,0,25133441.64166,69361952.7700454,40775510.7790439,93522121.9220432,"10_104_9"
"1293","2020-05-03",14732596.16,2581033.02626918,-2543873.46632681,0,-796195.300311289,1434.36610756131,1.93436275142712e-10,0,26976479.9960097,70599701.5024971,40775510.7790439,96818580.1242454,"10_104_9"
"1294","2020-05-10",15541169.5,2592306.86967618,-2596367.39216048,0,-824116.66215412,1508.15412138761,4.72003587575709e-13,0,27142256.7470524,70627912.8756196,40775510.7790439,96943500.592155,"10_104_9"
"1295","2020-05-17",16024383.67,2603580.71308317,-1965171.88642194,0,-1294352.58017765,1509.81307450592,1.15173530156106e-15,0,27157786.0866986,70628576.7259489,40775510.7790439,97131928.8722056,"10_104_9"
"1296","2020-05-24",298070926.3,2614825.6255414,-514847.034235677,2625372.33646265,-1052663.05498526,1509.84982240919,2.8103477172177e-18,3314475.2219087,27159246.3989148,70628592.3586691,40775510.7790439,104776511.702098,"10_104_9"
"1297","2020-05-31",308051668.1,2626070.53799963,1150406.33463644,0,-1182944.26791146,137022.345699934,6.85752557984953e-21,3546782.67961809,27159383.7698764,70628592.7268035,40775510.7790439,104065314.126723,"10_104_9"
"1298","2020-06-07",314923043.7,2637315.45045786,2158988.62043272,0,-1119383.33154765,143307.884335458,0.25464182392543,3565437.5050631,28310670.8732059,71722721.0654203,40775510.7790439,107419058.322009,"10_104_9"
"1299","2020-06-14",327659351.5,2648532.66667699,2207378.68141525,0,-1440160.2873693,143448.900324924,13.9349465667377,3567089.52625777,28415705.6484923,71747746.7855697,40775510.7790439,107289755.856314,"10_104_9"
"1300","2020-06-21",323526762.1,2659749.88289611,1857000.55825625,0,-1492136.97633827,149551.310326537,16.4468876283131,3574333.52159021,28425558.1631216,71748335.7198878,40775510.7790439,106922408.626628,"10_104_9"
"1301","2020-06-28",276481175.9,2670967.09911524,1947898.77473773,-782691.842883505,-1534413.93662734,103451.61305293,16.6764657740045,3574978.76572291,28426484.7685555,71748349.5884695,40775510.7790439,106155041.506609,"10_104_9"
"1302","2020-07-05",430608370.9,2682157.0078936,2757604.9371756,0,-971808.88806073,2238678.6889774,402.93543569421,3575036.43733918,26425169.4679819,71753938.456102,40775510.7790439,108461179.042845,"10_104_9"
"1303","2020-07-12",434401710.2,2693346.91667195,3796333.69588728,0,-975785.776819485,3623244.25430489,524.221934523251,3575041.59358439,26226945.7688394,71754070.0484707,40775510.7790439,110693720.722874,"10_104_9"
