"","ds","dep_var","trend","season","holiday","cag_V","Influencer_S","Social_Media_S","Radio_S","chicken","intercept","depVarHat","solID"
"188","2020-03-08",36760762.07,1387376.42738299,-2027942.99399202,0,6843426.23266497,91.4636745857971,70.5074306245025,5910.48237304626,41566699.8692043,79723507.3692281,47775631.9887385,"8_54_15"
"189","2020-03-15",44275947.01,1393668.74505354,-1983752.76254181,0,7742792.7989637,78.8441950156955,76.052852333237,5910.48237304626,41541453.349861,79723507.3692281,48700227.5107568,"8_54_15"
"190","2020-03-22",52300359.72,1399961.06272408,-1941341.85773368,0,6816760.62720387,40.3074781204224,67.5469057555858,5910.48237304626,41532187.0241083,79723507.3692281,47813585.1930595,"8_54_15"
"191","2020-03-29",31399641.03,1406252.66797822,-2075318.75650115,0,7745216.9669526,22.1671187611287,61.4788591657678,5910.48237304626,41529312.3260104,79723507.3692281,48611457.332791,"8_54_15"
"192","2020-04-05",32570266.98,1412544.27323235,-2292500.12569742,0,7968239.93709781,19.0219018880396,42.5215187986995,5910.48237304626,41407659.6833887,79723507.3692281,48501915.7938151,"8_54_15"
"193","2020-04-12",928.58,1418835.87848648,-2368814.23719675,0,8176718.62656002,1.17584461920748,1029.63712979252,5910.48237304626,41337268.3093672,79723507.3692281,48570949.8725644,"8_54_15"
"194","2020-04-19",1324.52,1425121.94011618,-2282856.19854628,0,8402166.24952773,0.0963703414978138,3652.88817650992,5910.48237304626,41305634.8262969,79723507.3692281,48859630.2843145,"8_54_15"
"195","2020-04-26",1688.79,1431408.00174589,-2266794.39191706,0,8593675.76306764,0.0963703414978138,6752.03272704296,5910.48237304626,41293984.7201874,79723507.3692281,49064936.7045543,"8_54_15"
"196","2020-05-03",14732596.16,1437687.76125441,-2441370.74843285,0,8227625.91191013,96.25373393315,8187.59578162878,5910.48237304626,41717539.4734816,79723507.3692281,48955676.7301019,"8_54_15"
"197","2020-05-10",15541169.5,1443967.52076293,-2491749.48648611,0,8380348.73762763,226.073371615519,8373.17471420397,5910.48237304626,41956507.9837499,79723507.3692281,49303584.4861133,"8_54_15"
"198","2020-05-17",16024383.67,1450247.28027146,-1885987.34279057,0,8353682.64733293,226.073371615519,8377.49949253256,5910.48237304626,42062371.653561,79723507.3692281,49994828.293612,"8_54_15"
"199","2020-05-24",298070926.3,1456510.92465455,-494101.812035218,2640283.99408051,8450649.85172253,226.073371615519,8377.50972551666,2930112.20572954,42101129.4537968,79723507.3692281,57093188.2010458,"8_54_15"
"200","2020-05-31",308051668.1,1462774.56903765,1104051.91585596,0,8528222.98495054,25737.2285828315,8377.50972675139,3634441.29035717,42113152.0602234,79723507.3692281,56876757.5587343,"8_54_15"
"201","2020-06-07",314923043.7,1469038.21342075,2071994.43443021,0,8261564.99100512,55145.3528285587,3169.45557342108,3634441.29035717,42493570.864367,79723507.3692281,57988924.6019822,"8_54_15"
"202","2020-06-14",327659351.5,1475286.43043674,2118434.66856977,0,8453073.53487783,55145.3528285587,838.158938030217,3634441.29035717,42706704.7771897,79723507.3692281,58443924.2131978,"8_54_15"
"203","2020-06-21",323526762.1,1481534.64745274,1782174.66503809,0,8414286.84705543,57278.015444715,154.667932170252,3638827.6022136,42800902.904434,79723507.3692281,58175159.3495707,"8_54_15"
"204","2020-06-28",276481175.9,1487782.86446873,1869410.23305675,-787137.396231986,8739125.35756805,41801.3502976737,61.4346962815512,3640434.89372826,42835352.1658923,79723507.3692281,57826830.9034761,"8_54_15"
"205","2020-07-05",430608370.9,1494015.87068619,2646490.13344031,0,8845789.47633005,1003598.15682617,314.060674196463,3640434.89372826,42847933.1918703,79723507.3692281,60478575.7835554,"8_54_15"
"206","2020-07-12",434401710.2,1500248.87690365,3643364.40436715,0,8998511.33238036,2771543.13477836,839.063184876767,3640434.89372826,42851880.7405603,79723507.3692281,63406822.4459029,"8_54_15"
"207","2020-07-19",432281508.5,1506469.64965957,4212281.3337961,0,9017905.16112516,3152812.17317547,1597.6164020671,3646103.09938623,42853036.054863,79723507.3692281,64390205.0884076,"8_54_15"
"208","2020-07-26",658511352.4,1512690.4224155,4162496.47055299,0,9168203.33402016,4430353.68900351,10533.9520560214,3648177.64174337,42853352.976868,79723507.3692281,65785808.4866595,"8_54_15"
"209","2020-08-02",409350240.6,1518911.19517142,3801739.63930575,0,9228807.53374266,4988327.13022903,54494.1346751141,523401.457250005,42607764.6091613,79723507.3692281,62723445.6995353,"8_54_15"
"210","2020-08-09",446638042.6,1525120.81872854,3475363.94966086,0,9240928.13127037,5040729.10307799,114865.737536583,2814.38510792613,42463949.6171531,79723507.3692281,61863771.7425354,"8_54_15"
"211","2020-08-16",439431871.1,1531330.44228566,3242382.80451479,0,9299108.64783756,5040862.4390986,157203.93417665,5910.48237304626,42398945.8411268,79723507.3692281,61675744.5914131,"8_54_15"
"212","2020-08-23",438484282.8,1537540.06584277,3033420.62530034,0,9536676.86833298,5040609.19114042,170215.497318023,5910.48237304626,42374946.8980738,79723507.3692281,61699319.6283814,"8_54_15"
"213","2020-08-30",426700660.6,1543737.94248658,2949364.21019222,0,9383954.04261547,5040368.35458709,123944.044148045,5910.48237304626,42367481.5438164,79723507.3692281,61414760.6202189,"8_54_15"
"214","2020-09-06",467858576.1,1549935.81913039,3192184.92797587,487740.731027318,8988815.38767515,5355389.93189402,82360.2831740366,5910.48237304626,42473692.8728239,79723507.3692281,62136030.4360737,"8_54_15"
"215","2020-09-13",454795389.4,1556123.80682416,3670436.81722419,0,8535495.24650044,5454912.92111886,30727.9907416837,5910.48237304626,42535191.6733074,79723507.3692281,61788798.9380898,"8_54_15"
"216","2020-09-20",476726733.8,1562311.79451793,3843066.44080792,0,8702763.56498494,5452903.75420767,11779.6490302104,5910.48237304626,42562771.0965747,79723507.3692281,62141506.7824964,"8_54_15"
"217","2020-09-27",463851577.8,1568499.7822117,3139360.03016688,0,9010631.92990806,5453251.37035066,5742.97957742972,5910.48237304626,42572919.2294878,79723507.3692281,61756315.8040755,"8_54_15"
"218","2020-10-04",521614117.1,1574677.61760677,1568024.17140935,0,9148810.47494256,5582210.38471501,5837.65762761298,5910.48237304626,42576072.8851321,79723507.3692281,60461543.6738064,"8_54_15"
"219","2020-10-11",229153894.2,1580855.45300185,-182648.105207888,-345166.603209725,9313652.92852057,3801401.1383773,4737.87328912336,5910.48237304626,42627331.7631723,79723507.3692281,56806074.9303165,"8_54_15"
"220","2020-10-18",107775008.9,1587033.28839692,-1322851.4146082,0,9274866.24069817,360439.869655472,3240.76056143363,5910.48237304626,42656498.2284888,79723507.3692281,52565137.4555657,"8_54_15"
"221","2020-10-25",79028066.41,1593210.83547663,-1627210.86023118,0,9248201.36248746,5227.98513388311,2131.95285027458,5910.48237304626,42669502.0811591,79723507.3692281,51896973.8392492,"8_54_15"
"222","2020-11-01",80045288.67,1599388.38255635,-1508486.4742,0,8933058.55426325,982.422991888326,1683.64580554103,5910.48237304626,42651118.2172186,79723507.3692281,51683655.2310086,"8_54_15"
"223","2020-11-08",3940610.98,1605565.3839277,-1492590.25186886,-533940.235476668,8821547.06919065,37.72217208922,876.911722862945,5910.48237304626,42639235.3969103,79723507.3692281,51046642.4789512,"8_54_15"
"224","2020-11-15",4121432.76,1611742.38529905,-1717629.15614631,0,8860333.75701305,5.49058496152932,409.677676823523,5910.48237304626,42633636.4309952,79723507.3692281,51394409.0677958,"8_54_15"
"225","2020-11-22",101570.51,1617919.3866704,-1955388.96590326,40448.3045177199,8743973.93596265,8.95407953596184,1565.30271918403,5910.48237304626,42631522.4661004,79723507.3692281,51085959.8665196,"8_54_15"
"226","2020-11-29",8557029.85,1624096.38634194,-1999217.45655279,0,8872454.35454075,8.95407953596184,51558.1045434588,5910.48237304626,42630855.8691541,79723507.3692281,51185666.6944801,"8_54_15"
"227","2020-12-06",7991773.83,1630273.38601349,-1894830.48603707,0,8714884.16251264,13.7725319334156,153843.280124195,5910.48237304626,42864512.9549834,79723507.3692281,51474607.5525017,"8_54_15"
"228","2020-12-13",9361922.85,1636450.38568504,-1793320.39601205,0,8790032.64291815,10.4323015354981,231790.845169456,5910.48237304626,42997313.2134439,79723507.3692281,51868187.6058791,"8_54_15"
"229","2020-12-20",9594209.12,1642627.38373989,-1712637.84287669,-222890.516427157,8855485.42103525,8.78824600059864,258373.624608256,5910.48237304626,43056392.9229541,79723507.3692281,51883270.2636527,"8_54_15"
"230","2020-12-27",9373672.97,1648804.38179473,-1551440.65417788,-298958.918679701,8964573.22295255,8.78824600059864,261475.839288632,5910.48237304626,43078058.5524988,79723507.3692281,52108431.6942962,"8_54_15"
"231","2021-01-03",108552561.5,1654981.38037113,-1298951.46719368,0,8843364.82350755,70196.5126830435,303759.160175881,5910.48237304626,42860760.6503952,79723507.3692281,52440021.5423122,"8_54_15"
"232","2021-01-10",126812036.4,1661158.37894752,-1107994.79088318,0,8307623.69796063,166702.598361256,334800.181052951,5910.48237304626,42731622.3730831,79723507.3692281,52099822.9208953,"8_54_15"
"233","2021-01-17",161617871.4,1667335.37752392,-1110429.38483611,58661.4597920465,8404589.93268303,177020.281741947,366901.176637665,5910.48237304626,42672904.932929,79723507.3692281,52242894.2588445,"8_54_15"
"234","2021-01-24",138491001.1,1673512.37280431,-1234882.69150565,0,8872454.35454075,178408.981010477,340467.150494694,5910.48237304626,42651164.180934,79723507.3692281,52487034.8306517,"8_54_15"
"235","2021-01-31",129906901.8,1679689.3680847,-1296583.70197711,0,8491860.22270023,180333.472898708,304279.345296442,5910.48237304626,42644390.7158782,79723507.3692281,52009879.9052542,"8_54_15"
