"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","iterPar","iterNG","df.int","trial","iterations","solID","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"34","Social_Media_S",766514.952049214,6168021.42060867,0.000560679014367482,74313.5110916707,0.00056080271447049,6168021.42060867,0.000560679014367482,74313.5110916707,0.00056080271447049,TRUE,-0.0371324388512615,0.252139790560559,0.0236587315589782,145.492833969166,11321892623.3318,0.705119241641912,16056034913.1787,1e-04,10,85,1,9,1354,"9_85_10",1,26989500,325174.698795181,0.0447084433412947,0.0473942212425539,0.0178825749898212,0.228534112177279,4.3757143757352,5814.96093599733,0.0413798195386335
"35","Radio_S",9690711.16317746,44295482.5093119,0.00402650149548317,533680.512160385,0.00402738984449748,44295482.5093119,0.00402650149548317,533680.512160385,0.00402738984449748,TRUE,-0.0371324388512615,0.252139790560559,0.0236587315589782,145.492833969166,11321892623.3318,0.705119241641912,16056034913.1787,1e-04,10,85,1,9,1354,"9_85_10",1,196277706,2364791.63855422,0.32513646780638,0.340360344903737,0.00114847389627653,0.225677604512618,4.43109985219684,2715.90146701253,0.00313516460755636
"36","chicken",30088114.8604076,1248444545.48321,0.113484796747822,15041500.5479905,0.113509834390908,1248444545.48321,0.113484796747822,15041500.5479905,0.113509834390908,TRUE,-0.0371324388512615,0.252139790560559,0.0236587315589782,145.492833969166,11321892623.3318,0.705119241641912,16056034913.1787,1e-04,10,85,1,9,1354,"9_85_10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(Intercept)",100109076.507736,8309053350.14208,0.755300853385291,100109076.507736,0.755464922931228,8309053350.14208,0.755300853385291,100109076.507736,0.755464922931228,TRUE,-0.0398742167181099,0.2524728507292,0.00648159127391164,146.183167181546,11491264724.5323,0.715669109091781,16056034913.1787,1e-04,5,30,1,9,469,"9_30_5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","trend",0.00957431123814851,143030145.918742,0.0130015763192087,1723254.77010533,0.0130044005748859,143030145.918742,0.0130015763192087,1723254.77010533,0.0130044005748859,TRUE,-0.0398742167181099,0.2524728507292,0.00648159127391164,146.183167181546,11491264724.5323,0.715669109091781,16056034913.1787,1e-04,5,30,1,9,469,"9_30_5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","season",0.0147022860641785,-61550245.3428274,-0.0055949758503737,-741569.220997921,-0.00559619121395125,-61550245.3428274,-0.0055949758503737,-741569.220997921,-0.00559619121395125,FALSE,-0.0398742167181099,0.2524728507292,0.00648159127391164,146.183167181546,11491264724.5323,0.715669109091781,16056034913.1787,1e-04,5,30,1,9,469,"9_30_5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","holiday",0.0189779446682861,-615389.709482395,-5.59395099718107e-05,-36199.394675435,-0.000273175758508984,-615389.709482395,-5.59395099718107e-05,-36199.394675435,-0.000273175758508984,FALSE,-0.0398742167181099,0.2524728507292,0.00648159127391164,146.183167181546,11491264724.5323,0.715669109091781,16056034913.1787,1e-04,5,30,1,9,469,"9_30_5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","cag_V",281219.5864874,813292665.982314,0.0739290769697533,9798706.81906402,0.0739451361467496,813292665.982314,0.0739290769697533,9798706.81906402,0.0739451361467496,TRUE,-0.0398742167181099,0.2524728507292,0.00648159127391164,146.183167181546,11491264724.5323,0.715669109091781,16056034913.1787,1e-04,5,30,1,9,469,"9_30_5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Influencer_S",7505946.7499956,83300517.9354395,0.00757209631864963,1003620.69801734,0.00757374116043581,83300517.9354395,0.00757209631864963,1003620.69801734,0.00757374116043581,TRUE,-0.0398742167181099,0.2524728507292,0.00648159127391164,146.183167181546,11491264724.5323,0.715669109091781,16056034913.1787,1e-04,5,30,1,9,469,"9_30_5",1,380410712.15,4583261.59216867,0.630155088852325,0.627548632376672,0.00289307925433124,0.218975216193684,4.56672685330517,13259.7390294764,0.00854785612500564
"43","Social_Media_S",918522.759202423,6637035.95738849,0.000603312881903529,79964.2886432348,0.000603443935999586,6637035.95738849,0.000603312881903529,79964.2886432348,0.000603443935999586,TRUE,-0.0398742167181099,0.2524728507292,0.00648159127391164,146.183167181546,11491264724.5323,0.715669109091781,16056034913.1787,1e-04,5,30,1,9,469,"9_30_5",1,26989500,325174.698795181,0.0447084433412947,0.0500004434704956,0.0264454573128531,0.245911778928416,4.06649898739131,8599.39361620782,0.0561647240883758
