DATE,banner_I,blog_I,coupon_I,email_I,social_I,text_I,website_I,ecom_I,display_I,event_I,other_I,post_I,sweepstakes_I,mail_I,radio_I,circular_I,retailer_I,banner_S,blog_S,coupon_S,email_S,social_S,text_S,website_S,ecom_S,display_S,event_S,other_S,post_S,sweepstakes_S,mail_S,radio_S,circular_S,retailer_S,revenue
1/30/2021,2038079351,794724907,300744124,85126403,357707801,0,9000000,83352,16000000,0,1119591,4058087722,0,0,0,9000000,3686770752,9755107.48,4485565.2,2443781.91,698420.2,2259347.89,0,0,10760.92,0,0,945000,2759313.61,0,0,0,0,15676267.13,1601128655
2/6/2021,1736814736,794724907,287590304,85126403,357707801,0,9000000,0,16000000,0,264339,4033744654,0,0,0,9000000,3582760504,9070107.48,4485565.2,2367366.86,698420.2,2259347.89,0,0,0,0,0,225000,2647593.26,0,0,0,0,10715070.83,1526861522
2/13/2021,1488324307,614409226,282077980,85126403,357707801,0,9000000,0,16000000,0,264339,3129434254,0,0,0,9000000,3582760504,7979117.48,3608000.2,2316638.86,698420.2,2259347.89,0,0,0,0,0,225000,2572063.33,0,0,0,0,10715070.83,1591530836
2/20/2021,817327337,525830070,23199768,72030940,332210000,0,9000000,0,0,0,0,1975985567,0,0,0,9000000,3157574934,3198000,2805000.2,819775.74,513500.2,2124347.89,0,0,0,0,0,0,2375167.42,0,0,0,0,9523880.83,1272727596
2/27/2021,166163706,525830070,24522486,73443377,126211848,0,9000000,0,0,0,0,542260817,0,0,0,9000000,3162362598,1088000,2805000.2,863275.74,533000.2,930000,0,0,0,0,0,0,942364.46,0,0,0,0,9595619.58,1237666981
3/6/2021,189110677,122235013,5396400,31443377,54359689,0,9000000,0,8000000,0,0,532578321,0,0,0,9000000,7.63E+11,1173000,1110000.2,120837.96,459500.2,325000,0,0,0,0,0,0,919432.18,0,0,0,0,122490712.8,973238852
3/13/2021,65652798,5916615,5396400,1412437,54359689,0,0,0,8000000,0,0,164077261,0,0,0,0,7.63E+11,298000,45000,120837.96,19500,325000,0,0,0,0,0,0,93122.38,0,0,0,0,120859264.4,1522506287
3/20/2021,65652798,2421731,3995680,1412437,54359689,0,0,0,8000000,0,0,92069311,0,0,0,0,7.63E+11,298000,20000,59201.08,19500,325000,0,0,0,0,0,0,88154.4,0,0,0,0,120859264.4,1559002535
3/27/2021,59407683,2421731,3995680,0,52107841,0,0,0,8000000,0,0,72069311,0,0,0,0,7.63E+11,278000,20000,59201.08,0,305000,0,0,0,0,0,0,76404.4,0,0,0,0,120758474.9,1447996939
4/3/2021,121513867,0,7695819,0,18027841,0,0,0,10000000,0,0,41802011,0,0,0,0,7.63E+11,808776,0,150808.3,0,160000,0,0,0,0,0,0,74175.34,0,0,0,0,122899234.2,919696656.8
4/10/2021,110623118,0,7695819,0,15120000,0,0,0,2000000,0,0,41802011,0,0,0,0,7.61E+11,773776,0,150808.3,0,135000,0,0,0,0,0,0,74175.34,0,0,0,0,118942034.2,330538937.9
4/17/2021,164301683,3714622,7695819,2964073,15120000,0,0,0,2000000,0,0,41802011,0,0,0,0,7.61E+11,983449,47000,150808.3,10000,135000,0,0,0,0,0,0,74175.34,0,0,0,0,118942034.2,351071428.6
4/24/2021,164301683,3714622,7695819,2964073,15120000,0,0,0,2000000,0,0,41802011,0,0,0,0,7.61E+11,983449,47000,150808.3,10000,135000,0,0,0,0,0,0,74175.34,0,0,0,0,118942034.2,327793813.7
5/1/2021,160411811,3714622,4654091,2964073,15120000,0,0,0,2000000,0,0,41802011,0,0,0,0,7.61E+11,1147449,47000,221427,10000,135000,0,0,0,0,0,0,74175.34,0,0,0,0,119376370.2,326022261
5/8/2021,63853937,3714622,413576,2964073,0,0,0,0,2000000,0,0,8200000,0,0,0,0,7.61E+11,434673,47000,108399,10000,0,0,0,0,0,0,0,9500,0,0,0,0,119178881.3,311484469.9
5/15/2021,73609594,9617223,413576,2964073,0,0,0,0,2000000,0,38036,8200000,0,0,0,0,464470559,479673,97000,108399,10000,0,0,0,0,0,0,32000,9500,0,0,0,0,2568881.26,239727224
